POPID,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPULATIONNAME,ESAPOPNAME,NMFS_POPID,NMFS_POPULATION,NMFS_POPCODE,NMFS_SPECIES,NMFS_COMMON_SPECIES,NMFS_RUN,POPSTATUS,NMFS_TYPE,LISTING_STATUS,DEFINEDBY,BPA_PRIORITY,SPECIES,RUN,FCRPS_SECTION,FCRPS_SECTIONTITLE,INCAX,RTID,CONTACTAGENCY,RECORDNOTE,DATASETVERSION,UPDDATE,SNLOADDATE,LASTUPDATED,LASTMODIFIEDON
13,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Grande Ronde/Imnaha,Wenaha River - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Wenaha River - spring",98,Wenaha River,CKSRSspWNH,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060314,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
14,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Lower Snake,Asotin Creek - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Asotin Creek - spring",57,Asotin Creek,CKSRSspASO,Oncorhynchus tshawytscha,Chinook,spring,Functionally Extirpated,Independent,Threatened,NMFS,3,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060302,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
15,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Lower Snake,Tucannon River - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Tucannon River - spring",93,Tucannon River,CKSRSspTUC,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,1,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060201,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
16,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon,Bear Valley Creek - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Bear Valley Creek - spring",58,Bear Valley Creek,CKSRSspBVC,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060434,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
17,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon,Big Creek - spring/summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Big Creek - spring/summer",59,Big Creek,CKSRSssBGK,Oncorhynchus tshawytscha,Chinook,spring/summer,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060428,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
18,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon,Camas Creek - spring/summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Camas Creek - spring/summer",61,Camas Creek,CKSRSssCMS,Oncorhynchus tshawytscha,Chinook,spring/summer,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060429,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
19,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon,Chamberlain Creek - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Chamberlain Creek - spring",63,Chamberlain Creek,CKSRSspCHB,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060426,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
20,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon,Loon Creek - spring/summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Loon Creek - spring/summer",75,Loon Creek,CKSRSssLOO,Oncorhynchus tshawytscha,Chinook,spring/summer,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060430,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
21,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon,Marsh Creek - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Marsh Creek - spring",78,Marsh Creek,CKSRSspMRS,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060433,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
22,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon,Middle Fork Salmon River Lower Mainstem - spring/summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Middle Fork Salmon River Lower Mainstem - spring/summer",81,Middle Fork Salmon River Lower Mainstem,CKSRSssMSL,Oncorhynchus tshawytscha,Chinook,spring/summer,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060427,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
