"brood_code","Brood_Year","species_description","run_description","stock_description","Origin_desc","quasi_noaa_name","Wild","Hatchery","nosa_esa_pop_name","stock_id","comments","sasi_stock_num","POPFIT","BESTVALUE","nosaij","nosaej","phosij","phosej","tsaij","tsaej","pHOS","pNOS","pNOB","pHOB","pNI"
"CO:NO:LEWI:2021:H",2021,"coho","fall","Lewis River","Hatchery Origin","Lewis River fall coho",0,1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:LEWI:2021:M",2021,"coho","fall","Lewis River","Mixed Hatchery/Wild Origin","Lewis River fall coho",390,444,"Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA,"3031","Same","Yes",NA,4870,NA,0.605,NA,12356,0.605,0.395,0.467625899280576,0.532374100719424,0.435963647338945
"CO:NO:LEWI:2022:H",2022,"coho","fall","Lewis River","Hatchery Origin","Lewis River fall coho",0,1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:LEWI:2022:M",2022,"coho","fall","Lewis River","Mixed Hatchery/Wild Origin","Lewis River fall coho",79,732,"Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA,"3031","Same","Yes",NA,5742,NA,0.588,NA,13940,0.588,0.412,0.0974106041923551,0.902589395807645,0.142120071671692
"CO:NO:LEWI:2023:H",2023,"coho","fall","Lewis River","Hatchery Origin","Lewis River fall coho",0,1114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:LEWI:2023:M",2023,"coho","fall","Lewis River","Mixed Hatchery/Wild Origin","Lewis River fall coho",100,698,"Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA,"3031","Same","Yes",NA,4592,NA,0.642,NA,12886,0.642,0.358,0.12531328320802,0.87468671679198,0.163314367091502
"CO:NO:UCOW:2016:H",2016,"coho","fall","Upper Cowlitz River","Hatchery Origin","Upper Cowlitz River fall coho",771,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
"CO:NO:UCOW:2017:H",2017,"coho","fall","Upper Cowlitz River","Hatchery Origin","Upper Cowlitz River fall coho",790,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997474747474748,0.00252525252525249,NA
"CO:NO:UCOW:2018:M",2018,"coho","fall","Upper Cowlitz River","Mixed Hatchery/Wild Origin","Upper Cowlitz River fall coho",545,156,"Salmon, coho (Lower Columbia River ESU) Upper Cowlitz River - early and late","F6D6E39E-80E1-4A22-A52D-EB733334D579",NA,"3694","Multiple","Yes",NA,172,NA,0.971,NA,5963,0.971,0.029,0.777460770328103,0.222539229671897,0.444654397468815
"CO:NO:UCOW:2019:M",2019,"coho","fall","Upper Cowlitz River","Mixed Hatchery/Wild Origin","Upper Cowlitz River fall coho",758,0,"Salmon, coho (Lower Columbia River ESU) Upper Cowlitz River - early and late","F6D6E39E-80E1-4A22-A52D-EB733334D579",NA,"3694","Multiple","Yes",NA,3560,NA,0.633,NA,9703,0.633,0.367,1,0,0.612369871402327
"CO:NO:UCOW:2020:M",2020,"coho","fall","Upper Cowlitz River","Mixed Hatchery/Wild Origin","Upper Cowlitz River fall coho",657,0,"Salmon, coho (Lower Columbia River ESU) Upper Cowlitz River - early and late","F6D6E39E-80E1-4A22-A52D-EB733334D579",NA,"3694","Multiple","Yes",NA,8909,NA,0.58,NA,21238,0.58,0.42,1,0,0.632911392405063
"CO:NO:UCOW:2021:M",2021,"coho","fall","Upper Cowlitz River","Mixed Hatchery/Wild Origin","Upper Cowlitz River fall coho",740,2,"Salmon, coho (Lower Columbia River ESU) Upper Cowlitz River - early and late","F6D6E39E-80E1-4A22-A52D-EB733334D579",NA,"3694","Multiple","Yes",NA,9663,NA,0.671,NA,29378,0.671,0.329,0.997304582210243,0.00269541778975746,0.597795266430888
"CO:NO:UCOW:2022:M",2022,"coho","fall","Upper Cowlitz River","Mixed Hatchery/Wild Origin","Upper Cowlitz River fall coho",1271,559,"Salmon, coho (Lower Columbia River ESU) Upper Cowlitz River - early and late","F6D6E39E-80E1-4A22-A52D-EB733334D579",NA,"3694","Multiple","Yes",NA,11506,NA,0.508,NA,23379,0.508,0.492,0.694535519125683,0.305464480874317,0.577559255489312
"CO:NO:UCOW:2023:M",2023,"coho","fall","Upper Cowlitz River","Mixed Hatchery/Wild Origin","Upper Cowlitz River fall coho",854,882,"Salmon, coho (Lower Columbia River ESU) Upper Cowlitz River - early and late","F6D6E39E-80E1-4A22-A52D-EB733334D579",NA,"3694","Multiple","Yes",NA,6264,NA,0.523,NA,13155,0.523,0.477,0.491935483870968,0.508064516129032,0.484696309951371
"CO:NO:WASH:2012:H",2012,"coho","fall","Washougal River","Hatchery Origin","Washougal River fall coho",0,1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
